time,actual,forecast,reqs
2022-12-31T23:30Z,65,75,108
2023-01-01T00:00Z,72,73,147
2023-01-01T00:30Z,80,63,196
2023-01-01T01:00Z,72,71,234
2023-01-01T01:30Z,65,76,281
2023-01-01T02:00Z,65,72,315
2023-01-01T02:30Z,65,66,428
2023-01-01T03:00Z,67,67,443
2023-01-01T03:30Z,68,67,538
2023-01-01T04:00Z,71,67,564
2023-01-01T04:30Z,73,65,676
2023-01-01T05:00Z,72,73,654
2023-01-01T05:30Z,73,74,691
2023-01-01T06:00Z,73,76,766
2023-01-01T06:30Z,72,75,870
2023-01-01T07:00Z,75,78,1002
2023-01-01T07:30Z,74,73,916
2023-01-01T08:00Z,73,76,1015
2023-01-01T08:30Z,82,75,951
2023-01-01T09:00Z,78,69,814
2023-01-01T09:30Z,78,82,720
2023-01-01T10:00Z,84,80,638
2023-01-01T10:30Z,86,77,628
2023-01-01T11:00Z,87,89,512
2023-01-01T11:30Z,92,84,537
2023-01-01T12:00Z,90,90,532
2023-01-01T12:30Z,93,90,626
2023-01-01T13:00Z,93,88,622
2023-01-01T13:30Z,94,90,771
2023-01-01T14:00Z,103,92,797
2023-01-01T14:30Z,114,97,866
2023-01-01T15:00Z,129,107,873
2023-01-01T15:30Z,145,122,976
2023-01-01T16:00Z,150,136,824
2023-01-01T16:30Z,155,174,771
2023-01-01T17:00Z,162,160,748
2023-01-01T17:30Z,160,160,616
2023-01-01T18:00Z,160,157,592
2023-01-01T18:30Z,158,163,518
2023-01-01T19:00Z,160,159,368
2023-01-01T19:30Z,164,146,316
2023-01-01T20:00Z,162,158,285
2023-01-01T20:30Z,164,161,241
2023-01-01T21:00Z,162,168,227
2023-01-01T21:30Z,156,179,184
2023-01-01T22:00Z,153,188,173
2023-01-01T22:30Z,150,155,148
2023-01-01T23:00Z,153,152,132
